,predicted_demand_raw,predicted_demand_quantile,surge_multiplier_unlimited,surge_multiplier
2025-10-01 00:00:00,71.61394179591663,0,0.7943993759295169,1.0
2025-10-01 01:00:00,94.96922507214508,1,0.9882494204307516,1.0
2025-10-01 02:00:00,83.54168199553773,1,0.8934002290191096,1.0
2025-10-01 03:00:00,84.87753364064693,1,0.9044878659271594,1.0
2025-10-01 04:00:00,81.75312556527152,0,0.8785551192638807,1.0
2025-10-01 05:00:00,99.85961949456296,1,1.0288399440053124,1.0288399440053124
2025-10-01 06:00:00,96.73222992151409,1,1.0028824507590082,1.0028824507590082
2025-10-01 07:00:00,98.6933825222706,1,1.0191601175478888,1.0191601175478888
2025-10-01 08:00:00,50.182486618112314,0,0.616517202940756,1.0
2025-10-01 09:00:00,116.10785050231108,2,1.1637010915523505,1.1637010915523505
2025-10-01 10:00:00,76.8223012814951,0,0.8376290257743317,1.0
2025-10-01 11:00:00,112.55943284028639,2,1.1342490436556516,1.1342490436556516
2025-10-01 12:00:00,116.29750834207302,2,1.165275261312701,1.165275261312701
2025-10-01 13:00:00,68.79387517365576,0,0.7709926788770289,1.0
2025-10-01 14:00:00,94.75005633564622,1,0.9864303087196629,1.0
2025-10-01 15:00:00,110.12058872087482,2,1.1140065128548924,1.1140065128548924
2025-10-01 16:00:00,106.75366098736826,1,1.0860608406378913,1.0860608406378913
2025-10-01 17:00:00,47.8820343730865,0,0.5974233317683557,1.0
2025-10-01 18:00:00,147.03514375081627,2,1.4203992057057155,1.4203992057057155
2025-10-01 19:00:00,76.7869848612968,0,0.8373358976822382,1.0
2025-10-01 20:00:00,71.824382763222,0,0.7961460467103655,1.0
2025-10-01 21:00:00,85.87651341068418,1,0.9127794490600712,1.0
2025-10-01 22:00:00,99.25465257999491,1,1.0238186877043813,1.0238186877043813
2025-10-01 23:00:00,73.99292206977547,0,0.8141450337535212,1.0
2025-10-02 00:00:00,80.71553951393993,0,0.869943102023687,1.0
2025-10-02 01:00:00,106.17648915272237,1,1.0812702849204685,1.0812702849204685
2025-10-02 02:00:00,116.43974332493063,2,1.166455818937735,1.166455818937735
2025-10-02 03:00:00,65.46615225778783,0,0.7433724086495488,1.0
2025-10-02 04:00:00,100.33827104970436,1,1.0328127763690793,1.0328127763690793
2025-10-02 05:00:00,78.56972880186935,0,0.8521327634760278,1.0
2025-10-02 06:00:00,69.97606791903519,0,0.7808049390663152,1.0
2025-10-02 07:00:00,141.3230685803984,2,1.3729886899400205,1.3729886899400205
2025-10-02 08:00:00,111.04467993281354,2,1.1216765171292506,1.1216765171292506
2025-10-02 09:00:00,68.87728762797015,0,0.7716850065096919,1.0
2025-10-02 10:00:00,144.7111796465357,2,1.4011101849001921,1.4011101849001921
