time,temperature_c,rain,wind_speed,Super (PMS),Diesel (AGO),demand,demand_lag_1h,demand_lag_24h,demand_lag_168h,hour_of_day,day_of_week,is_weekend,month,quarter,is_public_holiday,is_school_holiday,rainfall_x_hour,traffic_index_proxy
2024-01-15 00:00:00,15.8,0.0,6.5,180.66,168.06,26.069209093971043,58.81624559966295,25.247030480922067,38.05925225879608,0,0,0,1,1,0,0,0.0,11
2024-01-15 01:00:00,15.6,0.1,7.9,180.66,168.06,7.804307541215186,26.069209093971043,26.705443982501492,17.756643585109337,1,0,0,1,1,0,0,0.1,11
2024-01-15 02:00:00,15.4,0.0,7.4,180.66,168.06,5.601287384807307,7.804307541215186,0.0,30.508831451730934,2,0,0,1,1,0,0,0.0,11
2024-01-15 03:00:00,14.9,0.0,6.5,180.66,168.06,6.797146795563799,5.601287384807307,0.0,44.71135911078553,3,0,0,1,1,0,0,0.0,11
2024-01-15 04:00:00,15.7,0.0,8.4,180.66,168.06,38.816565922227426,6.797146795563799,36.509101095942185,36.200830794323885,4,0,0,1,1,0,0,0.0,11
2024-01-15 05:00:00,18.1,0.0,7.6,180.66,168.06,155.78855277090494,38.816565922227426,109.97060561188155,146.20109717486216,5,0,0,1,1,0,0,0.0,11
2024-01-15 06:00:00,20.0,0.0,12.0,180.66,168.06,254.91153991333633,155.78855277090494,179.31759658968457,275.6229349885463,6,0,0,1,1,0,0,0.0,95
2024-01-15 07:00:00,21.7,0.1,18.4,180.66,168.06,313.92779117032643,254.91153991333633,215.9251483229436,312.4517291019575,7,0,0,1,1,0,0,0.7000000000000001,95
2024-01-15 08:00:00,22.7,0.1,16.6,180.66,168.06,280.6838162665531,313.92779117032643,185.25022505127706,272.3827165335319,8,0,0,1,1,0,0,0.8,95
2024-01-15 09:00:00,23.6,0.1,11.5,180.66,168.06,223.9215373135031,280.6838162665531,143.97100048791165,208.80310784441008,9,0,0,1,1,0,0,0.9,95
2024-01-15 10:00:00,25.0,0.0,10.2,180.66,168.06,145.95922543019157,223.9215373135031,109.90712965499995,142.4809871735617,10,0,0,1,1,0,0,0.0,50
2024-01-15 11:00:00,26.0,0.0,13.0,180.66,168.06,174.3546429966333,145.95922543019157,79.54127955088006,122.44347368462289,11,0,0,1,1,0,0,0.0,50
2024-01-15 12:00:00,26.0,0.0,14.9,180.66,168.06,150.38796418429953,174.3546429966333,128.41429373234922,143.92586958080474,12,0,0,1,1,0,0,0.0,50
2024-01-15 13:00:00,25.8,0.1,14.8,180.66,168.06,146.3627113281188,150.38796418429953,119.85012430773926,128.95677717256515,13,0,0,1,1,0,0,1.3,50
2024-01-15 14:00:00,24.2,0.2,13.6,180.66,168.06,162.92860950957737,146.3627113281188,106.85333298108068,152.0129820065668,14,0,0,1,1,0,0,2.8000000000000003,50
2024-01-15 15:00:00,23.0,0.0,8.7,180.66,168.06,208.16593452914927,162.92860950957737,150.85532218322484,190.8768111142875,15,0,0,1,1,0,0,0.0,50
2024-01-15 16:00:00,20.6,0.0,6.5,180.66,168.06,246.7964824251483,208.16593452914927,159.43897935582925,233.56668227621537,16,0,0,1,1,0,0,0.0,88
2024-01-15 17:00:00,19.2,0.0,5.8,180.66,168.06,312.0913861315153,246.7964824251483,223.074531593185,305.098704173589,17,0,0,1,1,0,0,0.0,88
2024-01-15 18:00:00,18.5,0.0,6.1,180.66,168.06,258.1005379229567,312.0913861315153,194.05168242721615,235.2671903199826,18,0,0,1,1,0,0,0.0,88
2024-01-15 19:00:00,17.5,0.1,5.4,180.66,168.06,179.12232204288892,258.1005379229567,112.86671020156939,157.08518727302075,19,0,0,1,1,0,0,1.9000000000000001,26
2024-01-15 20:00:00,17.2,0.2,11.2,180.66,168.06,106.46331469757135,179.12232204288892,99.75249628896034,143.78034344285254,20,0,0,1,1,0,0,4.0,26
2024-01-15 21:00:00,16.6,0.1,12.2,180.66,168.06,55.556507694936755,106.46331469757135,62.77848618081442,76.33674992216784,21,0,0,1,1,0,0,2.1,26
2024-01-15 22:00:00,15.9,1.5,10.0,180.66,168.06,42.839675441575544,55.556507694936755,48.38869732946161,51.095653974955866,22,0,0,1,1,0,0,33.0,11
2024-01-15 23:00:00,15.9,0.1,9.2,180.66,168.06,53.96273399037226,42.839675441575544,58.81624559966295,16.883273874226106,23,0,0,1,1,0,0,2.3000000000000003,11
2024-01-16 00:00:00,14.8,0.0,6.1,180.66,168.06,36.537390263413656,53.96273399037226,26.069209093971043,24.17528031764834,0,1,0,1,1,0,0,0.0,11
2024-01-16 01:00:00,15.2,0.0,5.6,180.66,168.06,1.8301857777201924,36.537390263413656,7.804307541215186,23.80504116106659,1,1,0,1,1,0,0,0.0,11
2024-01-16 02:00:00,15.3,0.0,7.2,180.66,168.06,24.852344024522534,1.8301857777201924,5.601287384807307,3.3302858944470124,2,1,0,1,1,0,0,0.0,11
2024-01-16 03:00:00,15.3,0.0,7.3,180.66,168.06,28.294285802750498,24.852344024522534,6.797146795563799,28.101057206453085,3,1,0,1,1,0,0,0.0,11
2024-01-16 04:00:00,15.2,0.0,5.6,180.66,168.06,29.74421880381591,28.294285802750498,38.816565922227426,34.26517370294986,4,1,0,1,1,0,0,0.0,11
2024-01-16 05:00:00,17.8,0.0,6.8,180.66,168.06,167.81266597053207,29.74421880381591,155.78855277090494,160.30703766084548,5,1,0,1,1,0,0,0.0,11
2024-01-16 06:00:00,19.7,0.0,8.0,180.66,168.06,276.4752040405144,167.81266597053207,254.91153991333633,265.30357631837455,6,1,0,1,1,0,0,0.0,95
2024-01-16 07:00:00,21.9,0.0,13.6,180.66,168.06,312.0920690003678,276.4752040405144,313.92779117032643,360.1330703960567,7,1,0,1,1,0,0,0.0,95
2024-01-16 08:00:00,23.3,0.0,11.6,180.66,168.06,314.39959797854857,312.0920690003678,280.6838162665531,307.8553121521966,8,1,0,1,1,0,0,0.0,95
2024-01-16 09:00:00,24.2,0.0,10.3,180.66,168.06,229.52341042843685,314.39959797854857,223.9215373135031,202.8915774921348,9,1,0,1,1,0,0,0.0,95
2024-01-16 10:00:00,25.0,0.0,10.9,180.66,168.06,182.89110439476943,229.52341042843685,145.95922543019157,178.38570604242457,10,1,0,1,1,0,0,0.0,50
2024-01-16 11:00:00,25.5,0.0,9.4,180.66,168.06,160.37407163739795,182.89110439476943,174.3546429966333,123.22615110636653,11,1,0,1,1,0,0,0.0,50
2024-01-16 12:00:00,25.8,0.0,9.7,180.66,168.06,131.94435944610817,160.37407163739795,150.38796418429953,157.42599241051994,12,1,0,1,1,0,0,0.0,50
2024-01-16 13:00:00,24.9,0.0,8.4,180.66,168.06,161.1233521344866,131.94435944610817,146.3627113281188,144.246556095965,13,1,0,1,1,0,0,0.0,50
2024-01-16 14:00:00,24.0,0.0,10.7,180.66,168.06,206.7386619040636,161.1233521344866,162.92860950957737,176.49777560846977,14,1,0,1,1,0,0,0.0,50
2024-01-16 15:00:00,22.9,0.0,10.0,180.66,168.06,228.76085237949073,206.7386619040636,208.16593452914927,223.2471753584193,15,1,0,1,1,0,0,0.0,50
2024-01-16 16:00:00,20.4,0.0,7.4,180.66,168.06,283.8874761920368,228.76085237949073,246.7964824251483,287.04806207771526,16,1,0,1,1,0,0,0.0,88
2024-01-16 17:00:00,19.0,0.0,6.2,180.66,168.06,393.1479855250811,283.8874761920368,312.0913861315153,332.86008682385375,17,1,0,1,1,0,0,0.0,88
2024-01-16 18:00:00,17.9,0.0,5.9,180.66,168.06,284.7935333394949,393.1479855250811,258.1005379229567,273.18993644910836,18,1,0,1,1,0,0,0.0,88
2024-01-16 19:00:00,17.2,0.0,5.8,180.66,168.06,216.80684856576434,284.7935333394949,179.12232204288892,193.16232145580562,19,1,0,1,1,0,0,0.0,26
2024-01-16 20:00:00,16.8,0.0,6.2,180.66,168.06,147.73356847252197,216.80684856576434,106.46331469757135,108.04263244843332,20,1,0,1,1,0,0,0.0,26
2024-01-16 21:00:00,16.5,0.0,5.1,180.66,168.06,98.7387516435211,147.73356847252197,55.556507694936755,76.34166373519871,21,1,0,1,1,0,0,0.0,26
2024-01-16 22:00:00,16.0,0.0,5.4,180.66,168.06,49.99086715984252,98.7387516435211,42.839675441575544,47.53934454377068,22,1,0,1,1,0,0,0.0,11
2024-01-16 23:00:00,15.9,1.2,9.0,180.66,168.06,56.399296706287814,49.99086715984252,53.96273399037226,61.1625619229804,23,1,0,1,1,0,0,27.599999999999998,11
2024-01-17 00:00:00,16.8,0.1,6.8,180.66,168.06,19.02920522332672,56.399296706287814,36.537390263413656,37.09045083640509,0,2,0,1,1,0,0,0.0,11
2024-01-17 01:00:00,15.8,0.0,5.2,180.66,168.06,17.203184160349803,19.02920522332672,1.8301857777201924,0.0,1,2,0,1,1,0,0,0.0,11
2024-01-17 02:00:00,15.6,0.0,5.3,180.66,168.06,13.170509903453148,17.203184160349803,24.852344024522534,26.26843758537016,2,2,0,1,1,0,0,0.0,11
2024-01-17 03:00:00,15.6,0.0,5.6,180.66,168.06,22.374015751336255,13.170509903453148,28.294285802750498,14.762122200547825,3,2,0,1,1,0,0,0.0,11
2024-01-17 04:00:00,16.0,0.0,2.6,180.66,168.06,79.64683293835608,22.374015751336255,29.74421880381591,31.03711717104778,4,2,0,1,1,0,0,0.0,11
2024-01-17 05:00:00,18.5,0.0,3.8,180.66,168.06,127.54535571264807,79.64683293835608,167.81266597053207,167.50052316068908,5,2,0,1,1,0,0,0.0,11
2024-01-17 06:00:00,20.5,0.0,6.8,180.66,168.06,274.20462537897953,127.54535571264807,276.4752040405144,279.35476105583683,6,2,0,1,1,0,0,0.0,95
