time,temperature_c,rainfall_mm,wind_speed,Super (PMS),Diesel (AGO),scheduled_demand_count,hour_of_day,day_of_week,month,quarter,demand_lag_1h,demand_lag_24h,demand_lag_168h,is_public_holiday,is_school_holiday
2024-01-01 00:00:00,15.4,0.0,4.6,180.66,168.06,1332.5845396979723,0,0,1,1,0.0,0.0,0.0,1,0
2024-01-01 01:00:00,16.6,0.0,3.6,180.66,168.06,1203.2604454860325,1,0,1,1,1332.5845396979723,0.0,0.0,1,0
2024-01-01 02:00:00,15.8,0.0,6.2,180.66,168.06,1218.2724556556577,2,0,1,1,1203.2604454860325,0.0,0.0,1,0
2024-01-01 03:00:00,15.4,0.0,6.4,180.66,168.06,1248.7993837952138,3,0,1,1,1218.2724556556577,0.0,0.0,1,0
2024-01-01 04:00:00,16.4,0.0,4.4,180.66,168.06,1026.5348737799811,4,0,1,1,1248.7993837952138,0.0,0.0,1,0
2024-01-01 05:00:00,18.5,0.0,4.6,180.66,168.06,993.6233911605478,5,0,1,1,1026.5348737799811,0.0,0.0,1,0
2024-01-01 06:00:00,20.5,0.0,7.6,180.66,168.06,1157.9212815507392,6,0,1,1,993.6233911605478,0.0,0.0,1,0
2024-01-01 07:00:00,22.7,0.0,9.9,180.66,168.06,1076.743472915291,7,0,1,1,1157.9212815507392,0.0,0.0,1,0
2024-01-01 08:00:00,24.3,0.1,11.5,180.66,168.06,970.0896482619706,8,0,1,1,1076.743472915291,0.0,0.0,1,0
2024-01-01 09:00:00,25.8,0.0,10.8,180.66,168.06,1104.2062156109114,9,0,1,1,970.0896482619706,0.0,0.0,1,0
2024-01-01 10:00:00,26.9,0.0,12.1,180.66,168.06,1050.1546288731652,10,0,1,1,1104.2062156109114,0.0,0.0,1,0
2024-01-01 11:00:00,26.7,0.1,12.2,180.66,168.06,1106.930626488563,11,0,1,1,1050.1546288731652,0.0,0.0,1,0
2024-01-01 12:00:00,26.3,0.3,11.8,180.66,168.06,1241.2831027597545,12,0,1,1,1106.930626488563,0.0,0.0,1,0
2024-01-01 13:00:00,26.2,0.0,7.4,180.66,168.06,1091.5850999310692,13,0,1,1,1241.2831027597545,0.0,0.0,1,0
2024-01-01 14:00:00,25.5,0.2,11.0,180.66,168.06,1174.0046149031082,14,0,1,1,1091.5850999310692,0.0,0.0,1,0
2024-01-01 15:00:00,22.6,0.0,17.6,180.66,168.06,1347.2748489214912,15,0,1,1,1174.0046149031082,0.0,0.0,1,0
2024-01-01 16:00:00,20.0,0.0,11.2,180.66,168.06,1348.7666767142427,16,0,1,1,1347.2748489214912,0.0,0.0,1,0
2024-01-01 17:00:00,20.0,0.0,10.1,180.66,168.06,1514.3876464040616,17,0,1,1,1348.7666767142427,0.0,0.0,1,0
2024-01-01 18:00:00,19.5,0.0,7.4,180.66,168.06,1409.1975924478788,18,0,1,1,1514.3876464040616,0.0,0.0,1,0
2024-01-01 19:00:00,18.6,0.0,5.0,180.66,168.06,1358.769629866471,19,0,1,1,1409.1975924478788,0.0,0.0,1,0
2024-01-01 20:00:00,18.3,0.0,7.6,180.66,168.06,1629.5277900366896,20,0,1,1,1358.769629866471,0.0,0.0,1,0
2024-01-01 21:00:00,17.5,0.0,6.0,180.66,168.06,1427.4721586990315,21,0,1,1,1629.5277900366896,0.0,0.0,1,0
2024-01-01 22:00:00,17.0,0.1,5.8,180.66,168.06,1410.256422314381,22,0,1,1,1427.4721586990315,0.0,0.0,1,0
2024-01-01 23:00:00,16.6,0.0,6.8,180.66,168.06,1204.0215795330657,23,0,1,1,1410.256422314381,0.0,0.0,1,0
2024-01-02 00:00:00,16.3,0.1,4.8,180.66,168.06,1228.6117444836873,0,1,1,1,1204.0215795330657,1332.5845396979723,0.0,0,0
2024-01-02 01:00:00,15.9,0.0,5.7,180.66,168.06,1228.316027113494,1,1,1,1,1228.6117444836873,1203.2604454860325,0.0,0,0
2024-01-02 02:00:00,15.8,0.0,4.8,180.66,168.06,1038.5411366427147,2,1,1,1,1228.316027113494,1218.2724556556577,0.0,0,0
2024-01-02 03:00:00,15.4,0.0,4.2,180.66,168.06,1134.203092528335,3,1,1,1,1038.5411366427147,1248.7993837952138,0.0,0,0
2024-01-02 04:00:00,16.2,0.0,5.7,180.66,168.06,990.0232347997908,4,1,1,1,1134.203092528335,1026.5348737799811,0.0,0,0
2024-01-02 05:00:00,18.7,0.0,4.5,180.66,168.06,988.0046044154948,5,1,1,1,990.0232347997908,993.6233911605478,0.0,0,0
2024-01-02 06:00:00,20.9,0.0,4.9,180.66,168.06,939.966231316417,6,1,1,1,988.0046044154948,1157.9212815507392,0.0,0,0
2024-01-02 07:00:00,23.0,0.0,9.0,180.66,168.06,1185.3647109902504,7,1,1,1,939.966231316417,1076.743472915291,0.0,0,0
2024-01-02 08:00:00,24.9,0.0,12.0,180.66,168.06,1015.8242569210291,8,1,1,1,1185.3647109902504,970.0896482619706,0.0,0,0
2024-01-02 09:00:00,25.9,0.0,13.8,180.66,168.06,944.3160108960813,9,1,1,1,1015.8242569210291,1104.2062156109114,0.0,0,0
2024-01-02 10:00:00,25.8,0.1,12.5,180.66,168.06,1178.887781904087,10,1,1,1,944.3160108960813,1050.1546288731652,0.0,0,0
2024-01-02 11:00:00,25.7,0.2,9.1,180.66,168.06,1031.5561293878427,11,1,1,1,1178.887781904087,1106.930626488563,0.0,0,0
2024-01-02 12:00:00,26.8,0.1,8.2,180.66,168.06,1238.110127642983,12,1,1,1,1031.5561293878427,1241.2831027597545,0.0,0,0
2024-01-02 13:00:00,25.7,0.2,10.2,180.66,168.06,1087.083004548228,13,1,1,1,1238.110127642983,1091.5850999310692,0.0,0,0
2024-01-02 14:00:00,23.9,0.4,11.2,180.66,168.06,1213.814685803925,14,1,1,1,1087.083004548228,1174.0046149031082,0.0,0,0
2024-01-02 15:00:00,21.9,0.2,8.2,180.66,168.06,1423.3266179718573,15,1,1,1,1213.814685803925,1347.2748489214912,0.0,0,0
2024-01-02 16:00:00,20.2,0.1,8.4,180.66,168.06,1524.0333392865828,16,1,1,1,1423.3266179718573,1348.7666767142427,0.0,0,0
2024-01-02 17:00:00,19.6,0.0,5.5,180.66,168.06,1500.2366338028878,17,1,1,1,1524.0333392865828,1514.3876464040616,0.0,0,0
2024-01-02 18:00:00,18.6,0.0,11.9,180.66,168.06,1488.5720643005325,18,1,1,1,1500.2366338028878,1409.1975924478788,0.0,0,0
2024-01-02 19:00:00,18.0,0.0,10.2,180.66,168.06,1470.0265229804277,19,1,1,1,1488.5720643005325,1358.769629866471,0.0,0,0
2024-01-02 20:00:00,17.3,0.1,9.7,180.66,168.06,1335.247606647148,20,1,1,1,1470.0265229804277,1629.5277900366896,0.0,0,0
2024-01-02 21:00:00,16.9,0.1,9.5,180.66,168.06,1378.2022604475708,21,1,1,1,1335.247606647148,1427.4721586990315,0.0,0,0
2024-01-02 22:00:00,17.0,0.2,6.3,180.66,168.06,1357.5766172889664,22,1,1,1,1378.2022604475708,1410.256422314381,0.0,0,0
2024-01-02 23:00:00,17.4,0.1,6.5,180.66,168.06,1452.3455133156597,23,1,1,1,1357.5766172889664,1204.0215795330657,0.0,0,0
2024-01-03 00:00:00,17.2,0.1,8.2,180.66,168.06,1317.5487384324085,0,2,1,1,1452.3455133156597,1228.6117444836873,0.0,0,0
2024-01-03 01:00:00,17.2,0.1,7.6,180.66,168.06,1041.0566451455907,1,2,1,1,1317.5487384324085,1228.316027113494,0.0,0,0
2024-01-03 02:00:00,17.0,0.1,8.4,180.66,168.06,1186.1857838637811,2,2,1,1,1041.0566451455907,1038.5411366427147,0.0,0,0
2024-01-03 03:00:00,16.5,0.0,6.0,180.66,168.06,1058.261955191493,3,2,1,1,1186.1857838637811,1134.203092528335,0.0,0,0
2024-01-03 04:00:00,16.4,0.0,4.7,180.66,168.06,982.5317963004322,4,2,1,1,1058.261955191493,990.0232347997908,0.0,0,0
2024-01-03 05:00:00,18.1,0.0,5.7,180.66,168.06,1078.478500818266,5,2,1,1,982.5317963004322,988.0046044154948,0.0,0,0
2024-01-03 06:00:00,20.2,0.0,10.0,180.66,168.06,1103.3737373283084,6,2,1,1,1078.478500818266,939.966231316417,0.0,0,0
2024-01-03 07:00:00,22.1,0.0,8.7,180.66,168.06,1093.4017969903332,7,2,1,1,1103.3737373283084,1185.3647109902504,0.0,0,0
2024-01-03 08:00:00,24.0,0.0,9.7,180.66,168.06,933.3891196119152,8,2,1,1,1093.4017969903332,1015.8242569210291,0.0,0,0
2024-01-03 09:00:00,24.8,0.1,8.9,180.66,168.06,1019.3027587459065,9,2,1,1,933.3891196119152,944.3160108960813,0.0,0,0
2024-01-03 10:00:00,25.5,0.1,8.1,180.66,168.06,1129.896526373481,10,2,1,1,1019.3027587459065,1178.887781904087,0.0,0,0
2024-01-03 11:00:00,25.7,0.0,12.3,180.66,168.06,1251.3318996365376,11,2,1,1,1129.896526373481,1031.5561293878427,0.0,0,0
2024-01-03 12:00:00,26.0,0.2,6.6,180.66,168.06,1169.443236897335,12,2,1,1,1251.3318996365376,1238.110127642983,0.0,0,0
2024-01-03 13:00:00,25.7,0.1,10.5,180.66,168.06,1264.6210118091806,13,2,1,1,1169.443236897335,1087.083004548228,0.0,0,0
2024-01-03 14:00:00,25.0,0.0,8.0,180.66,168.06,1236.1366858325218,14,2,1,1,1264.6210118091806,1213.814685803925,0.0,0,0
