time,temperature_c,rainfall_mm,wind_speed,Super (PMS),Diesel (AGO),hour_of_day,day_of_week,month,quarter,demand_lag_1h,demand_lag_24h,demand_lag_168h,is_public_holiday,is_school_holiday,demand,is_weekend
2024-01-08 00:00:00,15.4,0.0,6.5,180.66,168.06,0,0,1,1,58.816631789481924,25.24830991295046,38.05882941757753,0,0,26.071919094195554,0
2024-01-08 01:00:00,15.4,0.0,6.1,180.66,168.06,1,0,1,1,26.071919094195554,26.70577887766338,17.7567612862967,0,0,7.806616583982292,0
2024-01-08 02:00:00,16.1,0.0,6.5,180.66,168.06,2,0,1,1,7.806616583982292,0.0,30.508280089525872,0,0,5.603712012457166,0
2024-01-08 03:00:00,15.1,0.0,7.0,180.66,168.06,3,0,1,1,5.603712012457166,0.0,44.71006259085255,0,0,6.799508680587641,0
2024-01-08 04:00:00,15.7,0.0,9.5,180.66,168.06,4,0,1,1,6.799508680587641,36.510657664831264,36.20103012365182,0,0,38.8199663664845,0
2024-01-08 05:00:00,18.6,0.0,9.7,180.66,168.06,5,0,1,1,38.8199663664845,109.97785611679596,146.20129649021402,0,0,155.80076789126628,0
2024-01-08 06:00:00,20.6,0.0,17.1,180.66,168.06,6,0,1,1,155.80076789126628,179.32988888605237,275.6215906413655,0,0,254.93214693140652,0
2024-01-08 07:00:00,21.8,0.0,17.3,180.66,168.06,7,0,1,1,254.93214693140652,215.9398600417658,312.451075802602,0,0,313.95209807866746,0
2024-01-08 08:00:00,22.1,0.0,14.2,180.66,168.06,8,0,1,1,313.95209807866746,185.264810139849,272.3831161861696,0,0,280.7071488638864,0
2024-01-08 09:00:00,23.6,0.0,12.1,180.66,168.06,9,0,1,1,280.7071488638864,143.98080720382447,208.80264597565,0,0,223.93697400052804,0
2024-01-08 10:00:00,24.4,0.0,12.5,180.66,168.06,10,0,1,1,223.93697400052804,109.91438349027928,142.48138167027722,0,0,145.97195626151677,0
2024-01-08 11:00:00,25.4,0.0,13.6,180.66,168.06,11,0,1,1,145.97195626151677,79.54839053990416,122.44387014954204,0,0,174.36316551024822,0
2024-01-08 12:00:00,25.2,0.1,14.1,180.66,168.06,12,0,1,1,174.36316551024822,128.41970854151705,143.92566360394434,0,0,150.3991034009931,0
2024-01-08 13:00:00,25.0,0.1,14.2,180.66,168.06,13,0,1,1,150.3991034009931,119.85772448725353,128.95840590358716,0,0,146.37678024388515,0
